PERIOD,YEAR,STATS_VALUE
January,1853,88.1
February,1853,126.5
March,1853,199.1
April,1853,141.5
May,1853,109.2
June,1853,144
July,1853,125.5
August,1853,59.4
September,1853,176.3
October,1853,49
November,1853,57.2
December,1853,38.1
January,1854,4.1
February,1854,102.4
March,1854,89.7
April,1854,192.8
May,1854,211.1
June,1854,181.6
July,1854,73.9
August,1854,132.6
September,1854,87.1
October,1854,68.8
November,1854,180.1
December,1854,134.9
January,1855,17.8
February,1855,26.2
March,1855,5.6
April,1855,57.4
May,1855,106.4
June,1855,95
July,1855,169.9
August,1855,95
September,1855,85.1
October,1855,124.5
November,1855,145.3
December,1855,23.1
January,1856,33
February,1856,40.1
March,1856,1.5
April,1856,22.4
May,1856,92.7
June,1856,149.4
July,1856,149.9
August,1856,164.3
September,1856,78.5
October,1856,57.4
November,1856,85.1
December,1856,42.2
January,1857,58.7
February,1857,35.1
March,1857,91.2
April,1857,39.9
May,1857,130
June,1857,192.3
July,1857,160
August,1857,79.5
September,1857,143.8
October,1857,120.1
November,1857,75.2
December,1857,33
January,1858,93
February,1858,25.4
March,1858,140
April,1858,74.7
May,1858,147.3
June,1858,101.3
July,1858,256
August,1858,167.4
September,1858,128
October,1858,65
November,1858,134.6
December,1858,162.6
January,1859,50.3
February,1859,59.2
March,1859,16
April,1859,74.7
May,1859,111.5
June,1859,34.3
July,1859,77
August,1859,51.1
September,1859,48.8
October,1859,100.3
November,1859,24.9
December,1859,20.6
January,1860,31
February,1860,83.1
March,1860,52.3
April,1860,28.7
May,1860,121.7
June,1860,285.8
July,1860,90.7
August,1860,81.8
September,1860,90.7
October,1860,186.2
November,1860,98.8
December,1860,80.8
January,1861,19.8
February,1861,95.8
March,1861,47.5
April,1861,96.3
May,1861,273.1
June,1861,208.5
July,1861,230.9
August,1861,98.6
September,1861,94
October,1861,74.2
November,1861,121.2
December,1861,90.2
January,1862,50.8
February,1862,38.9
March,1862,130.6
April,1862,188.2
May,1862,109.5
June,1862,147.3
July,1862,117.9
August,1862,137.2
September,1862,71.1
October,1862,85.9
November,1862,14.2
December,1862,55.4
January,1863,9.1
February,1863,23.7
March,1863,17.7
April,1863,73
May,1863,47.1
June,1863,102.3
July,1863,117.3
August,1863,109.7
September,1863,154
October,1863,123.6
November,1863,123
December,1863,225.1
January,1864,80.3
February,1864,15
March,1864,32.3
April,1864,10.9
May,1864,85.1
June,1864,94.5
July,1864,119.1
August,1864,138.9
September,1864,87.9
October,1864,97.5
November,1864,55.1
December,1864,135.1
January,1865,54.4
February,1865,62.7
March,1865,117.1
April,1865,26.2
May,1865,143.8
June,1865,94.2
July,1865,152.7
August,1865,94.2
September,1865,78.7
October,1865,60.7
November,1865,99.8
December,1865,33.3
January,1866,80.3
February,1866,45.5
March,1866,214.6
April,1866,41.4
May,1866,51.6
June,1866,57.9
July,1866,109.2
August,1866,62.7
September,1866,165.1
October,1866,41.1
November,1866,63
December,1866,136.1
January,1867,100.6
February,1867,141
March,1867,24.6
April,1867,196.1
May,1867,116.3
June,1867,196.9
July,1867,78.7
August,1867,132.1
September,1867,78.5
October,1867,108.7
November,1867,116.8
December,1867,60.5
January,1868,40.9
February,1868,107.4
March,1868,107.7
April,1868,118.9
May,1868,66.8
June,1868,148.3
July,1868,126.7
August,1868,101.1
September,1868,189.1
October,1868,91.4
November,1868,105.4
December,1868,43.2
January,1869,126.5
February,1869,359.3
March,1869,7.7
April,1869,95.3
May,1869,128.6
June,1869,125.5
July,1869,53.3
August,1869,106.2
September,1869,53.3
October,1869,75.6
November,1869,49.1
December,1869,182.7
January,1870,88.4
February,1870,62.8
March,1870,19
April,1870,53.9
May,1870,76.1
June,1870,139.7
July,1870,157.3
August,1870,268.7
September,1870,60.3
October,1870,10.4
November,1870,106.2
December,1870,96.4
January,1871,63.4
February,1871,157.9
March,1871,139.6
April,1871,95.3
